step	accuracy
0	0.5706250071525574
1	0.6317499876022339
2	0.6305000185966492
3	0.6353750228881836
4	0.6520000100135803
5	0.6551250219345093
6	0.6742500066757202
7	0.6800000071525574
8	0.675000011920929
9	0.6831250190734863
